skill_1,skill_2,vacancy_count
docker,kubernetes,113
ci_cd,git,97
ci_cd,devops,93
ci_cd,docker,93
ci_cd,kubernetes,91
azure,ci_cd,87
azure,devops,87
ci_cd,python,85
devops,git,73
devops,docker,72
devops,kubernetes,71
agile,ci_cd,70
azure,kubernetes,70
docker,git,68
azure,terraform,67
azure,docker,67
azure,git,64
ci_cd,terraform,64
docker,python,64
docker,java,63
aws,azure,63
git,kubernetes,63
agile,java,62
ci_cd,sql,60
aws,ci_cd,60
azure,sql,59
devops,terraform,59
azure,python,59
python,sql,57
java,spring,54
ci_cd,java,54
java,kubernetes,52
agile,git,50
kubernetes,terraform,50
agile,devops,49
docker,terraform,49
kubernetes,python,49
aws,kubernetes,48
devops,python,48
aws,docker,47
aws,python,47
git,python,45
azure,gcp,45
azure,linux,45
agile,docker,44
agile,kubernetes,44
agile,azure,44
git,terraform,43
aws,gcp,43
angular,java,42
