city,skill,vacancy_count,rank,share_within_group
1020 Renens,python,1,1,1.0
1209 Geneve,ansible,1,1,1.0
1209 Geneve,docker,1,1,1.0
1209 Geneve,kubernetes,1,1,1.0
1209 Geneve,python,1,1,1.0
1209 Geneve,terraform,1,1,1.0
1870 Monthey,ansible,1,1,1.0
1870 Monthey,azure,1,1,1.0
1870 Monthey,ci_cd,1,1,1.0
1870 Monthey,devops,1,1,1.0
1870 Monthey,docker,1,1,1.0
1870 Monthey,gcp,1,1,1.0
1870 Monthey,git,1,1,1.0
1870 Monthey,kubernetes,1,1,1.0
1870 Monthey,linux,1,1,1.0
1870 Monthey,terraform,1,1,1.0
2112 Môtiers NE,csharp,1,1,1.0
2112 Môtiers NE,python,1,1,1.0
3173 / Köniz,c++,1,1,1.0
3173 / Köniz,csharp,1,1,1.0
3173 / Köniz,java,1,1,1.0
3173 / Köniz,python,1,1,1.0
AG,azure,1,1,1.0
Aadorf,git,2,1,0.6667
Aadorf,c++,1,2,0.3333
Aadorf,ci_cd,1,2,0.3333
Aadorf,kafka,1,2,0.3333
Aadorf,linux,1,2,0.3333
Aadorf,sql,1,2,0.3333
Aarau,azure,8,1,0.5
Aarau,agile,4,2,0.25
Aarau,ci_cd,2,3,0.125
Aarau,git,2,3,0.125
Aarau,java,2,3,0.125
Aarau,sql,2,3,0.125
Aarau,terraform,2,3,0.125
Aarau,angular,1,4,0.0625
Aarau,aws,1,4,0.0625
Aarau,csharp,1,4,0.0625
Aarau,devops,1,4,0.0625
Aarau,dotnet,1,4,0.0625
Aarau,javascript,1,4,0.0625
Aarau,kubernetes,1,4,0.0625
Aarau,linux,1,4,0.0625
Aarau,nodejs,1,4,0.0625
Aarau,rest_api,1,4,0.0625
Aarau,spring,1,4,0.0625
Aarau,typescript,1,4,0.0625
Aarburg,c++,1,1,0.5
Aarburg,git,1,1,0.5
Aargau,ci_cd,1,1,0.5
Aargau,kubernetes,1,1,0.5
Allschwil,linux,4,1,0.5
Allschwil,agile,3,2,0.375
Allschwil,azure,3,2,0.375
Allschwil,sql,2,3,0.25
Allschwil,airflow,1,4,0.125
Allschwil,aws,1,4,0.125
Allschwil,ci_cd,1,4,0.125
Allschwil,dbt,1,4,0.125
Allschwil,devops,1,4,0.125
Allschwil,docker,1,4,0.125
Allschwil,etl,1,4,0.125
Allschwil,git,1,4,0.125
Allschwil,hadoop,1,4,0.125
Allschwil,java,1,4,0.125
Allschwil,python,1,4,0.125
Allschwil,scala,1,4,0.125
Allschwil,spark,1,4,0.125
Allschwil,terraform,1,4,0.125
Altishofen,azure,2,1,0.4
Altishofen,sql,2,1,0.4
Altishofen,ci_cd,1,2,0.2
Altishofen,csharp,1,2,0.2
Altishofen,databricks,1,2,0.2
Altishofen,devops,1,2,0.2
Altishofen,docker,1,2,0.2
Altishofen,git,1,2,0.2
Altishofen,kubernetes,1,2,0.2
Altishofen,openshift,1,2,0.2
Altishofen,python,1,2,0.2
Altishofen,react,1,2,0.2
Altishofen,rest_api,1,2,0.2
BAD IR,c++,1,1,1.0
BAD IR,git,1,1,1.0
Baar,azure,2,1,0.3333
Baar,agile,1,2,0.1667
Baar,ansible,1,2,0.1667
Baar,devops,1,2,0.1667
Baar,linux,1,2,0.1667
Baar,python,1,2,0.1667
Backoffice Zürich,azure,1,1,1.0
Bad Ragaz,linux,1,1,1.0
Baden,azure,1,1,0.2
Baden,javascript,1,1,0.2
Baden,php,1,1,0.2
Baden-Dättwil,ci_cd,1,1,1.0
Baden-Dättwil,git,1,1,1.0
Baden-Dättwil,java,1,1,1.0
Baden-Dättwil,javascript,1,1,1.0
Baden-Dättwil,linux,1,1,1.0
Baden-Dättwil,mongodb,1,1,1.0
Baden-Dättwil,mysql,1,1,1.0
Baden-Dättwil,php,1,1,1.0
Baden-Dättwil,spring,1,1,1.0
Baden-Dättwil,sql,1,1,1.0
Balzers,azure,2,1,0.5
Balzers,docker,2,1,0.5
Balzers,git,2,1,0.5
Balzers,java,2,1,0.5
Balzers,kubernetes,2,1,0.5
Balzers,linux,2,1,0.5
Balzers,rest_api,2,1,0.5
Balzers,sql,2,1,0.5
Balzers,terraform,2,1,0.5
Balzers,agile,1,2,0.25
Balzers,ci_cd,1,2,0.25
Balzers,devops,1,2,0.25
Balzers,junit,1,2,0.25
Balzers,kotlin,1,2,0.25
Balzers,playwright,1,2,0.25
Balzers,react,1,2,0.25
Balzers,spring,1,2,0.25
Balzers,typescript,1,2,0.25
Basel,azure,24,1,0.3871
Basel,terraform,22,2,0.3548
Basel,ci_cd,21,3,0.3387
Basel,devops,21,3,0.3387
Basel,kubernetes,21,3,0.3387
Basel,docker,17,4,0.2742
Basel,git,15,5,0.2419
Basel,aws,14,6,0.2258
Basel,agile,11,7,0.1774
Basel,linux,10,8,0.1613
Basel,python,10,8,0.1613
Basel,java,8,9,0.129
Basel,angular,7,10,0.1129
Basel,ansible,7,10,0.1129
Basel,dotnet,6,11,0.0968
Basel,react,6,11,0.0968
Basel,sql,6,11,0.0968
Basel,csharp,5,12,0.0806
Basel,spring,5,12,0.0806
Basel,javascript,4,13,0.0645
Basel,typescript,4,13,0.0645
Basel,dbt,3,14,0.0484
Basel,etl,3,14,0.0484
Basel,gcp,3,14,0.0484
Basel,mssql,3,14,0.0484
Basel,spark,3,14,0.0484
Basel,databricks,2,15,0.0323
Basel,oracle,2,15,0.0323
Basel,scala,2,15,0.0323
Basel,snowflake,2,15,0.0323
Basel,airflow,1,16,0.0161
Basel,clean_code,1,16,0.0161
Basel,devsecops,1,16,0.0161
Basel,hadoop,1,16,0.0161
Basel,kafka,1,16,0.0161
Basel,mongodb,1,16,0.0161
Basel,openshift,1,16,0.0161
Basel,postgresql,1,16,0.0161
Basel,swift,1,16,0.0161
Basel Zürich Bern Winterthur Luzern St.Gallen,csharp,1,1,1.0
Basel Zürich Bern Winterthur Luzern St.Gallen,dotnet,1,1,1.0
Basel Zürich Bern Winterthur Luzern St.Gallen,mssql,1,1,1.0
Basel Zürich Bern Winterthur Luzern St.Gallen,sql,1,1,1.0
"Basel-Land, Basel",javascript,1,1,1.0
"Basel-Land, Basel",linux,1,1,1.0
"Basel-Land, Basel",python,1,1,1.0
"Basel-Land, Basel",test_automation,1,1,1.0
Belp,git,1,1,1.0
Belp,go,1,1,1.0
Belp,typescript,1,1,1.0
Bendern (LI),azure,1,1,1.0
Bendern (LI),go,1,1,1.0
Bendern (LI),python,1,1,1.0
Benken SG,azure,1,1,1.0
Bern,azure,24,1,0.2963
Bern,agile,23,2,0.284
Bern,docker,22,3,0.2716
Bern,kubernetes,21,4,0.2593
Bern,ci_cd,20,5,0.2469
Bern,java,19,6,0.2346
Bern,ansible,14,7,0.1728
Bern,python,14,7,0.1728
Bern,git,13,8,0.1605
Bern,devops,12,9,0.1481
Bern,linux,12,9,0.1481
Bern,spring,12,9,0.1481
Bern,sql,11,10,0.1358
Bern,angular,10,11,0.1235
Bern,aws,10,11,0.1235
Bern,microservices,9,12,0.1111
Bern,mongodb,9,12,0.1111
Bern,openshift,9,12,0.1111
Bern,postgresql,9,12,0.1111
Bern,terraform,9,12,0.1111
Bern,react,8,13,0.0988
Bern,dotnet,7,14,0.0864
Bern,gcp,7,14,0.0864
Bern,rest_api,6,15,0.0741
Bern,snowflake,6,15,0.0741
Bern,kafka,5,16,0.0617
Bern,csharp,4,17,0.0494
Bern,javascript,4,17,0.0494
Bern,databricks,3,18,0.037
Bern,dbt,3,18,0.037
Bern,etl,3,18,0.037
Bern,oracle,3,18,0.037
Bern,spark,3,18,0.037
Bern,airflow,2,19,0.0247
Bern,clean_code,2,19,0.0247
Bern,devsecops,2,19,0.0247
Bern,mssql,2,19,0.0247
