role_category,skill,vacancy_count,rank,share_within_group
Unknown,python,5,1,0.0526
Unknown,agile,4,2,0.0421
Unknown,ci_cd,4,2,0.0421
Unknown,sql,4,2,0.0421
Unknown,java,3,3,0.0316
Unknown,angular,2,4,0.0211
Unknown,azure,2,4,0.0211
Unknown,csharp,2,4,0.0211
Unknown,devops,2,4,0.0211
Unknown,docker,2,4,0.0211
Unknown,dotnet,2,4,0.0211
Unknown,git,2,4,0.0211
Unknown,kubernetes,2,4,0.0211
Unknown,oracle,2,4,0.0211
Unknown,php,2,4,0.0211
Unknown,rest_api,2,4,0.0211
Unknown,typescript,2,4,0.0211
Unknown,airflow,1,5,0.0105
Unknown,aws,1,5,0.0105
Unknown,c++,1,5,0.0105
Unknown,dart,1,5,0.0105
Unknown,devsecops,1,5,0.0105
Unknown,etl,1,5,0.0105
Unknown,javascript,1,5,0.0105
Unknown,linux,1,5,0.0105
Unknown,microservices,1,5,0.0105
Unknown,mysql,1,5,0.0105
Unknown,nodejs,1,5,0.0105
Unknown,postgresql,1,5,0.0105
Unknown,react,1,5,0.0105
Unknown,selenium,1,5,0.0105
Unknown,snowflake,1,5,0.0105
Unknown,spark,1,5,0.0105
Unknown,spring,1,5,0.0105
data_ai,python,108,1,0.5745
data_ai,sql,92,2,0.4894
data_ai,ci_cd,77,3,0.4096
data_ai,azure,56,4,0.2979
data_ai,etl,52,5,0.2766
data_ai,aws,39,6,0.2074
data_ai,databricks,35,7,0.1862
data_ai,dbt,33,8,0.1755
data_ai,devops,32,9,0.1702
data_ai,terraform,31,10,0.1649
data_ai,snowflake,30,11,0.1596
data_ai,git,28,12,0.1489
data_ai,spark,28,12,0.1489
data_ai,gcp,24,13,0.1277
data_ai,java,24,13,0.1277
data_ai,airflow,20,14,0.1064
data_ai,docker,19,15,0.1011
data_ai,kubernetes,17,16,0.0904
data_ai,scala,17,16,0.0904
data_ai,pytorch,15,17,0.0798
data_ai,agile,14,18,0.0745
data_ai,rest_api,14,18,0.0745
data_ai,kafka,12,19,0.0638
data_ai,postgresql,12,19,0.0638
data_ai,mssql,11,20,0.0585
data_ai,oracle,11,20,0.0585
data_ai,scikit_learn,11,20,0.0585
devops_cloud_platform,azure,391,1,0.2879
devops_cloud_platform,linux,231,2,0.1701
devops_cloud_platform,devops,228,3,0.1679
devops_cloud_platform,kubernetes,179,4,0.1318
devops_cloud_platform,docker,169,5,0.1244
devops_cloud_platform,ci_cd,168,6,0.1237
devops_cloud_platform,git,142,7,0.1046
devops_cloud_platform,ansible,133,8,0.0979
devops_cloud_platform,terraform,119,9,0.0876
devops_cloud_platform,python,105,10,0.0773
devops_cloud_platform,aws,82,11,0.0604
devops_cloud_platform,sql,74,12,0.0545
devops_cloud_platform,agile,63,13,0.0464
devops_cloud_platform,openshift,54,14,0.0398
devops_cloud_platform,java,46,15,0.0339
devops_cloud_platform,gcp,42,16,0.0309
devops_cloud_platform,oracle,31,17,0.0228
devops_cloud_platform,rest_api,30,18,0.0221
devops_cloud_platform,mssql,25,19,0.0184
devops_cloud_platform,postgresql,25,19,0.0184
devops_cloud_platform,microservices,20,20,0.0147
erp_business_systems,agile,4,1,0.0556
erp_business_systems,devops,3,2,0.0417
product_project_analysis,agile,66,1,0.1568
product_project_analysis,sql,22,2,0.0523
product_project_analysis,azure,6,3,0.0143
product_project_analysis,devops,5,4,0.0119
product_project_analysis,rest_api,5,4,0.0119
product_project_analysis,aws,4,5,0.0095
product_project_analysis,ci_cd,4,5,0.0095
product_project_analysis,gcp,4,5,0.0095
product_project_analysis,python,4,5,0.0095
product_project_analysis,nodejs,3,6,0.0071
product_project_analysis,csharp,2,7,0.0048
product_project_analysis,java,2,7,0.0048
product_project_analysis,microservices,2,7,0.0048
product_project_analysis,react,2,7,0.0048
product_project_analysis,spark,2,7,0.0048
product_project_analysis,swift,2,7,0.0048
product_project_analysis,typescript,2,7,0.0048
product_project_analysis,databricks,1,8,0.0024
product_project_analysis,docker,1,8,0.0024
