city,vacancy_count,share
Zürich,2021,0.27
Bern,359,0.048
Genève,311,0.0416
Basel,303,0.0405
Berne,204,0.0273
Luzern,166,0.0222
Lausanne,130,0.0174
Winterthur,113,0.0151
Zug,113,0.0151
St. Gallen,110,0.0147
Aarau,90,0.012
Region Zürich,90,0.012
Baden,66,0.0088
Wallisellen,66,0.0088
Innerschweiz,57,0.0076
Olten,52,0.0069
Lenzburg,47,0.0063
Frauenfeld,44,0.0059
Mittelland,44,0.0059
Baar,42,0.0056
Thun,42,0.0056
Region Bern,39,0.0052
Solothurn,38,0.0051
Herisau,37,0.0049
Rotkreuz,36,0.0048
Sursee,36,0.0048
Spreitenbach,34,0.0045
Schlieren,28,0.0037
Schaffhausen,27,0.0036
Chur,26,0.0035
Moosseedorf,24,0.0032
Reinach,24,0.0032
Allschwil,23,0.0031
Fribourg,23,0.0031
Kriens,23,0.0031
Steinhausen,23,0.0031
Glattbrugg,22,0.0029
Pully,22,0.0029
Schwyz,22,0.0029
Zentralschweiz,22,0.0029
Hinwil,21,0.0028
Mägenwil,21,0.0028
Biel/Bienne,20,0.0027
Volketswil,20,0.0027
Cham,19,0.0025
Emmen,19,0.0025
Hard,19,0.0025
Horgen,19,0.0025
Neuchâtel,19,0.0025
Switzerland,19,0.0025
Urdorf,19,0.0025
Biel,18,0.0024
Bussnang,18,0.0024
Region Sankt Gallen,18,0.0024
Zürich Seebach,17,0.0023
Aargau,16,0.0021
Bülach,16,0.0021
Dietikon,16,0.0021
Dübendorf,16,0.0021
Region Luzern,16,0.0021
Dällikon,15,0.002
Yverdon-les-Bains,15,0.002
Altishofen,14,0.0019
Bioggio,14,0.0019
Lugano,14,0.0019
Ostschweiz,14,0.0019
Rothenburg,14,0.0019
Unknown,14,0.0019
"Bern,",13,0.0017
Bonaduz,13,0.0017
Eschlikon,13,0.0017
Kloten,13,0.0017
Langenthal,13,0.0017
"Luzern,",13,0.0017
Nordwestschweiz,13,0.0017
Pfäffikon,13,0.0017
Region Aargau,13,0.0017
Region Solothurn,12,0.0016
Region Zug,12,0.0016
Schaan,12,0.0016
Balzers,11,0.0015
Jona,11,0.0015
Ostermundigen,11,0.0015
Stabio,11,0.0015
Wil,11,0.0015
Wohlen,11,0.0015
Zofingen,11,0.0015
Basel (City),10,0.0013
Burgdorf,10,0.0013
Coppet,10,0.0013
"Dietikon,",10,0.0013
Glattpark,10,0.0013
Opfikon,10,0.0013
Region Basel-Landschaft,10,0.0013
Region Basel-Stadt,10,0.0013
Region Bern Mittelland (BE/SO/AG),10,0.0013
Sion,10,0.0013
Stäfa,10,0.0013
Adliswil,9,0.0012
Bellevue,9,0.0012
Chiasso,9,0.0012
Ecublens,9,0.0012
Landquart,9,0.0012
Liestal,9,0.0012
Muhen,9,0.0012
Ostschweiz/Liechtenstein,9,0.0012
Thurgau,9,0.0012
Wetzikon,9,0.0012
Aadorf,8,0.0011
"Aargau,",8,0.0011
Altendorf,8,0.0011
Bern und Homeoffice,8,0.0011
Bottighofen,8,0.0011
Bulle,8,0.0011
CHE - Neuchatel,8,0.0011
Eschen,8,0.0011
Heerbrugg,8,0.0011
Kemptthal,8,0.0011
Laufenburg,8,0.0011
Nottwil,8,0.0011
Prilly,8,0.0011
Region Graubünden,8,0.0011
Ruswil,8,0.0011
St. Margrethen,8,0.0011
St.Gallen,8,0.0011
Turgi,8,0.0011
Weinfelden,8,0.0011
"Basel,",7,0.0009
Bendern,7,0.0009
Bubikon,7,0.0009
Buchs,7,0.0009
Domat/Ems,7,0.0009
Fehraltorf,7,0.0009
Muttenz,7,0.0009
Paudex,7,0.0009
Rheinfelden,7,0.0009
Root,7,0.0009
"Solothurn,",7,0.0009
Stans,7,0.0009
Suhr,7,0.0009
Würenlingen,7,0.0009
Zollikofen,7,0.0009
Zürich Flughafen,7,0.0009
"Aarau,",6,0.0008
Affoltern am Albis,6,0.0008
"Basel, Geneva, Zurich",6,0.0008
Brugg,6,0.0008
CH - Zürich,6,0.0008
Davos Platz,6,0.0008
Dietlikon,6,0.0008
Dotzigen,6,0.0008
Ebikon,6,0.0008
"Emmen,",6,0.0008
Fully,6,0.0008
"Geneva, Zurich",6,0.0008
Lyss,6,0.0008
Muri,6,0.0008
Nidau,6,0.0008
Oberrüti,6,0.0008
Port,6,0.0008
Rapperswi-Jona,6,0.0008
Raum Bern,6,0.0008
Regensdorf,6,0.0008
Region Thurgau,6,0.0008
Schwerzenbach,6,0.0008
Seuzach,6,0.0008
"St. Gallen,",6,0.0008
Staefa,6,0.0008
Sulgen,6,0.0008
Teufen,6,0.0008
Thalwil,6,0.0008
Vaduz,6,0.0008
"Winterthur,",6,0.0008
Yverdon,6,0.0008
"Zug,",6,0.0008
Zurich (Headquarter),6,0.0008
"Zurich, CH",6,0.0008
Aarburg,5,0.0007
Amriswil,5,0.0007
Appenzell,5,0.0007
Basel-Stadt,5,0.0007
"Bern, Zürich",5,0.0007
Dottikon,5,0.0007
Dättwil,5,0.0007
EMEA &gt; CHE &gt; Stabio &gt; VF Campus VF1,5,0.0007
Effretikon,5,0.0007
Gland,5,0.0007
Grand-Lancy,5,0.0007
Grosshöchstetten,5,0.0007
Grüsch,5,0.0007
Haag,5,0.0007
Hauptsitz Zollikofen,5,0.0007
Hochdorf,5,0.0007
Jegenstorf,5,0.0007
Kreuzlingen,5,0.0007
Meilen,5,0.0007
Meiringen,5,0.0007
Meisterschwanden,5,0.0007
Muri b. Bern,5,0.0007
Oberbüren,5,0.0007
Rapperswil,5,0.0007
Rapperswil-Jona,5,0.0007
Region Bern / Berner Oberland,5,0.0007
Renens,5,0.0007
Sissach,5,0.0007
Switzerland + FL,5,0.0007
Triesen,5,0.0007
Vernier,5,0.0007
Wettingen,5,0.0007
Wilderswil,5,0.0007
Wolhusen,5,0.0007
Worblaufen,5,0.0007
Altstätten,4,0.0005
Bad Ragaz,4,0.0005
"Baden,",4,0.0005
Baden-Dättwil,4,0.0005
"Basel Stadt,",4,0.0005
Bellach,4,0.0005
Belp,4,0.0005
"Bern, Innerschweiz",4,0.0005
Bern-Mittelland,4,0.0005
Bienne,4,0.0005
Birsfelden,4,0.0005
Bubendorf,4,0.0005
DWL T,4,0.0005
Fahrweid,4,0.0005
Frick,4,0.0005
Gamprin-Bendern,4,0.0005
Glarus,4,0.0005
Horw,4,0.0005
Härkingen,4,0.0005
"Innerschweiz, Zürich",4,0.0005
Köniz,4,0.0005
Lindau,4,0.0005
Luzern / hybrid,4,0.0005
Luzern oder Zürich,4,0.0005
Luzern-Stadt,4,0.0005
Meggen,4,0.0005
Mittelland AG &,4,0.0005
Münchenstein,4,0.0005
"Opfikon, Zurich",4,0.0005
Otelfingen,4,0.0005
Paderborn/Büren,4,0.0005
Region Schaffhausen,4,0.0005
Region Wil / Bronschhofen,4,0.0005
Region Zentralschweiz,4,0.0005
Romanshorn,4,0.0005
"Schaffhausen,",4,0.0005
Seengen,4,0.0005
Sempach,4,0.0005
Sonceboz,4,0.0005
Sonceboz-Sombeval,4,0.0005
"Stäfa, Schweiz",4,0.0005
"Stäfa, Switzerland",4,0.0005
Suisse,4,0.0005
Switzerland &gt; Basel : H-127 A2,4,0.0005
"Uster,",4,0.0005
Visp,4,0.0005
Weggis,4,0.0005
Zwingen,4,0.0005
Zürcher Oberland,4,0.0005
Zürich-Flughafen,4,0.0005
Zürich-Oerlikon,4,0.0005
AG,3,0.0004
Aargau/Solothurn,3,0.0004
Altdorf,3,0.0004
Andermatt,3,0.0004
Arlesheim,3,0.0004
BAD IR,3,0.0004
Balgach,3,0.0004
"Basel, Zurich",3,0.0004
"Basel-Land, Basel",3,0.0004
Bellinzona,3,0.0004
Biel-Benken,3,0.0004
"Bülach,",3,0.0004
CH137 - DXC Octagon Office Geneva (CH137),3,0.0004
Corgémont,3,0.0004
Corminboeuf,3,0.0004
Deutschschweiz,3,0.0004
Duggingen,3,0.0004
Fahrweid (Zürich),3,0.0004
Farnern,3,0.0004
"Fehraltorf (Zurich), Switzerland",3,0.0004
Gerlafingen,3,0.0004
Gisikon,3,0.0004
Granges-Paccot,3,0.0004
Grenchen,3,0.0004
Gümligen,3,0.0004
Hagendorn,3,0.0004
Islikon,3,0.0004
Julia,3,0.0004
"Kloten, Zürich",3,0.0004
Kägiswil,3,0.0004
Küssnacht am Rigi,3,0.0004
Laufen,3,0.0004
Le Châble,3,0.0004
"Lenzburg,",3,0.0004
Losone,3,0.0004
Lupfig,3,0.0004
Lupfig (Aargau),3,0.0004
Luzern/Zug,3,0.0004
Marin-Epagnier,3,0.0004
Martigny,3,0.0004
Menziken,3,0.0004
Meyrin,3,0.0004
Monthey,3,0.0004
Muttenz and/or Zurich,3,0.0004
Männedorf,3,0.0004
Môtiers,3,0.0004
Nice,3,0.0004
Nordschweiz,3,0.0004
Oberhausen,3,0.0004
Petit-Lancy,3,0.0004
Plan-les-Ouates,3,0.0004
Raum Zürich,3,0.0004
Region Fürstentum Liechtenstein,3,0.0004
Region Ostschweiz.,3,0.0004
Region Schwyz,3,0.0004
Roggwil,3,0.0004
Root D4,3,0.0004
Rüti,3,0.0004
Schachen,3,0.0004
Schweiz,3,0.0004
"Schwyz,",3,0.0004
St-Sulpice,3,0.0004
Stadt Zürich,3,0.0004
Switzerland &gt; Allschwil : H-127,3,0.0004
