company,vacancy_count,share
ti&m AG,79,0.0156
adesso Schweiz AG,70,0.0138
Deloitte,53,0.0105
Akros AG,48,0.0095
Bank Julius Bär & Co. AG,48,0.0095
ViaSat Antenna Systems SA,48,0.0095
Elca informatique SA,36,0.0071
SonarSource SA,36,0.0071
Stadler Rail Group,35,0.0069
Eraneos Switzerland AG,34,0.0067
Google,34,0.0067
RUAG AG,34,0.0067
PRODYNA (Schweiz) AG,32,0.0063
Axept Business Software AG,26,0.0051
Hitachi Energy AG,25,0.0049
finnova AG Bankware,25,0.0049
Turing,24,0.0047
clavis IT ag,23,0.0045
Julius Baer,21,0.0042
CERN,20,0.004
Kraken,20,0.004
Banque Lombard Odier & Cie SA,18,0.0036
Nexthink,18,0.0036
Siemens Schweiz AG,18,0.0036
Experis Switzerland,17,0.0034
Swisscom Digital Technology SA,17,0.0034
ITRIS AG,16,0.0032
"UMB AG, Zweigniederlassung Volketswil",16,0.0032
Ergon Informatik AG,15,0.003
Ernst & Young AG,15,0.003
SBB CFF FFS,15,0.003
isolutions AG,15,0.003
Amaris Consulting Sàrl,14,0.0028
Auctae Switzerland Sàrl,14,0.0028
BRACK.CH AG,14,0.0028
ELCA Group,14,0.0028
Innovation Process Technology AG,14,0.0028
Bison Schweiz AG,13,0.0026
Kanton Zürich,13,0.0026
Microsoft AI,13,0.0026
On AG,13,0.0026
UMB AG,13,0.0026
VZ VermögensZentrum,13,0.0026
Zürcher Kantonalbank und ihre Tochtergesellschaften,13,0.0026
CISTEC AG,12,0.0024
ERNI Schweiz AG,12,0.0024
EY,12,0.0024
Expleo Group,12,0.0024
Metrohm AG,12,0.0024
Twine,12,0.0024
infomaniak | The Ethical Cloud,12,0.0024
Avaloq Group AG,11,0.0022
Bank Frick AG,11,0.0022
Digt AG,11,0.0022
Inventx AG,11,0.0022
LHH,11,0.0022
ParMag AG,11,0.0022
ROLEX,11,0.0022
Swisscom,11,0.0022
Zühlke Engineering AG,11,0.0022
Coopers Group AG,10,0.002
Crossing Hurdles,10,0.002
EFG Bank AG,10,0.002
Fincons Group,10,0.002
