role_category,salary_count,average_salary,median_salary,min_salary,max_salary,rank
security,20,112713,110759,40000,180000,1
erp_business_systems,7,104257,107500,74000,127500,2
product_project_analysis,32,104192,108592,62389,135000,3
software_engineering,102,102571,100000,40000,148000,4
data_ai,24,102357,100000,40000,152125,5
devops_cloud_platform,47,100614,97402,78000,135000,6
qa_testing,16,88500,95974,55000,116675,7
ux_ui_design,3,87286,84750,82108,95000,8
support_operations,31,81539,80000,51750,108000,9
Unknown,2,81250,81250,62500,100000,10
