skill_1,skill_2,vacancy_count
ci_cd,devops,418
agile,ci_cd,337
ci_cd,python,321
agile,devops,288
python,sql,284
devops,python,244
agile,java,231
ci_cd,java,230
azure,devops,226
agile,python,212
aws,python,206
java,spring,200
agile,sql,196
azure,ci_cd,195
aws,gcp,181
aws,ci_cd,181
java,python,178
java,sql,173
devops,java,168
devops,sql,159
angular,java,155
ci_cd,sql,152
aws,devops,149
azure,python,149
ci_cd,kubernetes,142
ci_cd,react,141
agile,scrum,133
react,typescript,132
ci_cd,typescript,132
aws,azure,132
gcp,python,132
agile,angular,130
devops,kubernetes,126
java,react,126
angular,ci_cd,124
c++,python,122
agile,typescript,118
agile,azure,118
ci_cd,microservices,115
azure,sql,115
agile,react,114
csharp,dotnet,113
agile,spring,112
aws,sql,112
ci_cd,spring,111
agile,aws,110
aws,java,105
angular,react,105
java,microservices,104
ci_cd,test_automation,104
