category,skill,vacancy_count,share,rank
cloud,azure,849,0.0998,1
cloud,aws,705,0.0829,2
cloud,gcp,443,0.0521,3
database,postgresql,319,0.0375,1
database,oracle,280,0.0329,2
database,mssql,247,0.029,3
database,snowflake,160,0.0188,4
database,mysql,107,0.0126,5
database,mongodb,90,0.0106,6
database,redis,86,0.0101,7
database,elasticsearch,83,0.0098,8
database,bigquery,68,0.008,9
database,redshift,16,0.0019,10
domain,erp,314,0.0369,1
domain,cyber_security,308,0.0362,2
domain,etl,252,0.0296,3
domain,tcp_ip,177,0.0208,4
domain,machine_learning,134,0.0157,5
domain,siemens,121,0.0142,6
domain,plc,63,0.0074,7
domain,business_intelligence,57,0.0067,8
domain,opc_ua,37,0.0043,9
domain,beckhoff,11,0.0013,10
framework,react,437,0.0514,1
framework,angular,382,0.0449,2
framework,spring,336,0.0395,3
framework,spark,235,0.0276,4
framework,nodejs,134,0.0157,5
framework,pytorch,125,0.0147,6
framework,dbt,107,0.0126,7
framework,vue,102,0.012,8
framework,tensorflow,92,0.0108,9
framework,airflow,77,0.009,10
framework,pandas,66,0.0078,11
framework,boost,56,0.0066,12
framework,fastapi,51,0.006,13
framework,nextjs,51,0.006,13
framework,scikit_learn,51,0.006,13
framework,express,41,0.0048,14
framework,laravel,35,0.0041,15
framework,numpy,27,0.0032,16
framework,flask,22,0.0026,17
framework,django,20,0.0024,18
framework,nestjs,20,0.0024,18
framework,symfony,19,0.0022,19
framework,rails,10,0.0012,20
language,python,1776,0.2087,1
language,sql,1293,0.152,2
language,java,928,0.1091,3
language,typescript,460,0.0541,4
language,javascript,400,0.047,5
language,csharp,391,0.046,6
language,c++,374,0.044,7
language,dotnet,313,0.0368,8
language,rust,176,0.0207,9
language,kotlin,130,0.0153,10
language,c,128,0.015,11
language,go,113,0.0133,12
language,php,112,0.0132,13
language,scala,81,0.0095,14
language,swift,79,0.0093,15
language,r,32,0.0038,16
language,ruby,26,0.0031,17
language,dart,14,0.0016,18
methodology,agile,1763,0.2072,1
methodology,ci_cd,1474,0.1732,2
methodology,devops,1320,0.1551,3
methodology,microservices,337,0.0396,4
methodology,test_automation,285,0.0335,5
methodology,devsecops,122,0.0143,6
methodology,clean_code,105,0.0123,7
tool,git,1133,0.1332,1
tool,kubernetes,1023,0.1202,2
tool,linux,941,0.1106,3
tool,docker,753,0.0885,4
tool,rest,575,0.0676,5
tool,powershell,399,0.0469,6
tool,terraform,384,0.0451,7
tool,ansible,361,0.0424,8
tool,vmware,284,0.0334,9
tool,azure_devops,233,0.0274,10
tool,kafka,225,0.0264,11
tool,openshift,220,0.0259,12
tool,power_bi,210,0.0247,13
tool,databricks,183,0.0215,14
tool,excel,170,0.02,15
tool,tableau,98,0.0115,16
tool,graphql,90,0.0106,17
tool,playwright,86,0.0101,18
tool,cypress,61,0.0072,19
tool,selenium,58,0.0068,20
