canton,skill,vacancy_count,rank,share_within_group
AG,agile,29,1,0.232
AG,sql,24,2,0.192
AG,azure,20,3,0.16
AG,devops,16,4,0.128
AG,ci_cd,13,5,0.104
AG,csharp,13,5,0.104
AG,python,12,6,0.096
AG,java,11,7,0.088
AG,react,9,8,0.072
AG,aws,7,9,0.056
AG,dotnet,7,9,0.056
AG,javascript,7,9,0.056
AG,oracle,6,10,0.048
AG,c++,5,11,0.04
AG,ms sql,5,11,0.04
AG,angular,4,12,0.032
AG,c,4,12,0.032
AG,devexpress xaf,4,12,0.032
AG,typescript,4,12,0.032
AG,databricks,3,13,0.024
AG,docker,3,13,0.024
AG,etl,3,13,0.024
AG,linux,3,13,0.024
AG,microservices,3,13,0.024
AG,mssql,3,13,0.024
AG,postgresql,3,13,0.024
AG,rust,3,13,0.024
AG,bigquery,2,14,0.016
AG,d365,2,14,0.016
AG,dbt,2,14,0.016
AG,itil,2,14,0.016
AG,kubernetes,2,14,0.016
AG,m365,2,14,0.016
AG,microsoft 365,2,14,0.016
AG,mysql,2,14,0.016
AG,nodejs,2,14,0.016
AG,office365,2,14,0.016
AG,onprem,2,14,0.016
AG,scrum,2,14,0.016
AG,snowflake,2,14,0.016
AG,terraform,2,14,0.016
AG,test_automation,2,14,0.016
AG,.net,1,15,0.008
AG,.net core,1,15,0.008
AG,8d,1,15,0.008
AG,ansible,1,15,0.008
AG,apache spark,1,15,0.008
AG,azure/cloud,1,15,0.008
AG,bash,1,15,0.008
AG,cats,1,15,0.008
AG,cats effect,1,15,0.008
AG,data governance,1,15,0.008
AG,data modeling,1,15,0.008
AG,dataframes,1,15,0.008
AG,devexpress,1,15,0.008
AG,dotnet_core,1,15,0.008
AG,etl/elt,1,15,0.008
AG,flink,1,15,0.008
AG,gcp,1,15,0.008
AG,git,1,15,0.008
AG,grafana,1,15,0.008
AG,hadoop,1,15,0.008
AG,html,1,15,0.008
AG,influxdb,1,15,0.008
AG,kafka,1,15,0.008
AG,lean manufacturing,1,15,0.008
AG,linux server,1,15,0.008
AG,microsoft,1,15,0.008
AG,modbus,1,15,0.008
AG,mongodb,1,15,0.008
AG,mqtt,1,15,0.008
AG,ms-sql,1,15,0.008
AG,nextjs,1,15,0.008
AG,node-red,1,15,0.008
AG,"nodejs (js, ts)",1,15,0.008
AG,opc ua,1,15,0.008
AG,openshift,1,15,0.008
AG,php,1,15,0.008
AG,pl/sql,1,15,0.008
