role_category,skill,vacancy_count,rank,share_within_group
data_ai,python,518,1,0.5717
data_ai,sql,419,2,0.4625
data_ai,ci_cd,172,3,0.1898
data_ai,etl,171,4,0.1887
data_ai,aws,140,5,0.1545
data_ai,azure,138,6,0.1523
data_ai,gcp,135,7,0.149
data_ai,spark,132,8,0.1457
data_ai,devops,131,9,0.1446
data_ai,agile,129,10,0.1424
data_ai,databricks,127,11,0.1402
data_ai,git,115,12,0.1269
data_ai,power_bi,111,13,0.1225
data_ai,snowflake,106,14,0.117
data_ai,java,102,15,0.1126
data_ai,dbt,94,16,0.1038
data_ai,kubernetes,90,17,0.0993
data_ai,docker,85,18,0.0938
data_ai,pytorch,77,19,0.085
data_ai,mssql,74,20,0.0817
devops_cloud_platform,devops,514,1,0.3179
devops_cloud_platform,linux,435,2,0.269
devops_cloud_platform,ci_cd,410,3,0.2536
devops_cloud_platform,azure,387,4,0.2393
devops_cloud_platform,kubernetes,384,5,0.2375
devops_cloud_platform,python,336,6,0.2078
devops_cloud_platform,git,321,7,0.1985
devops_cloud_platform,ansible,283,8,0.175
devops_cloud_platform,powershell,261,9,0.1614
devops_cloud_platform,terraform,213,10,0.1317
devops_cloud_platform,vmware,212,11,0.1311
devops_cloud_platform,docker,194,12,0.12
devops_cloud_platform,aws,183,13,0.1132
devops_cloud_platform,agile,172,14,0.1064
devops_cloud_platform,sql,149,15,0.0921
devops_cloud_platform,java,124,16,0.0767
devops_cloud_platform,openshift,109,17,0.0674
devops_cloud_platform,gcp,92,18,0.0569
devops_cloud_platform,postgresql,80,19,0.0495
devops_cloud_platform,oracle,78,20,0.0482
erp_business_systems,erp,36,1,0.1791
erp_business_systems,agile,26,2,0.1294
erp_business_systems,azure,8,3,0.0398
erp_business_systems,oracle,8,3,0.0398
erp_business_systems,spark,7,4,0.0348
erp_business_systems,devops,6,5,0.0299
erp_business_systems,excel,6,5,0.0299
erp_business_systems,sql,6,5,0.0299
erp_business_systems,boost,4,6,0.0199
erp_business_systems,php,4,6,0.0199
erp_business_systems,dotnet,3,7,0.0149
erp_business_systems,vue,3,7,0.0149
erp_business_systems,business_intelligence,2,8,0.01
erp_business_systems,javascript,2,8,0.01
erp_business_systems,linux,2,8,0.01
erp_business_systems,power_bi,2,8,0.01
erp_business_systems,aws,1,9,0.005
erp_business_systems,azure_devops,1,9,0.005
erp_business_systems,csharp,1,9,0.005
erp_business_systems,databricks,1,9,0.005
erp_business_systems,gcp,1,9,0.005
erp_business_systems,java,1,9,0.005
erp_business_systems,python,1,9,0.005
erp_business_systems,rest,1,9,0.005
erp_business_systems,siemens,1,9,0.005
erp_business_systems,snowflake,1,9,0.005
erp_business_systems,swift,1,9,0.005
erp_business_systems,test_automation,1,9,0.005
erp_business_systems,typescript,1,9,0.005
erp_business_systems,visual_studio,1,9,0.005
product_project_analysis,agile,461,1,0.3971
product_project_analysis,sql,127,2,0.1094
product_project_analysis,devops,84,3,0.0724
product_project_analysis,erp,68,4,0.0586
product_project_analysis,python,51,5,0.0439
product_project_analysis,power_bi,45,6,0.0388
product_project_analysis,excel,40,7,0.0345
product_project_analysis,git,32,8,0.0276
product_project_analysis,rest,30,9,0.0258
product_project_analysis,azure_devops,28,10,0.0241
product_project_analysis,aws,21,11,0.0181
product_project_analysis,oracle,21,11,0.0181
product_project_analysis,ci_cd,19,12,0.0164
product_project_analysis,gcp,16,13,0.0138
product_project_analysis,mssql,16,13,0.0138
product_project_analysis,machine_learning,14,14,0.0121
product_project_analysis,tableau,14,14,0.0121
product_project_analysis,spark,12,15,0.0103
product_project_analysis,azure,11,16,0.0095
product_project_analysis,dotnet,11,16,0.0095
product_project_analysis,java,11,16,0.0095
product_project_analysis,microservices,10,17,0.0086
product_project_analysis,swift,10,17,0.0086
product_project_analysis,business_intelligence,9,18,0.0078
product_project_analysis,cyber_security,9,18,0.0078
product_project_analysis,kubernetes,9,18,0.0078
product_project_analysis,siemens,9,18,0.0078
product_project_analysis,vue,9,18,0.0078
product_project_analysis,csharp,8,19,0.0069
product_project_analysis,snowflake,8,19,0.0069
product_project_analysis,docker,7,20,0.006
product_project_analysis,etl,7,20,0.006
product_project_analysis,express,7,20,0.006
product_project_analysis,kafka,7,20,0.006
qa_testing,test_automation,114,1,0.304
qa_testing,agile,86,2,0.2293
qa_testing,ci_cd,77,3,0.2053
qa_testing,python,66,4,0.176
qa_testing,git,55,5,0.1467
qa_testing,java,50,6,0.1333
qa_testing,playwright,50,6,0.1333
qa_testing,devops,45,7,0.12
qa_testing,selenium,44,8,0.1173
qa_testing,rest,32,9,0.0853
qa_testing,cypress,24,10,0.064
qa_testing,azure_devops,23,11,0.0613
qa_testing,javascript,21,12,0.056
qa_testing,sql,21,12,0.056
qa_testing,csharp,19,13,0.0507
qa_testing,typescript,13,14,0.0347
qa_testing,docker,12,15,0.032
qa_testing,erp,12,15,0.032
qa_testing,excel,12,15,0.032
qa_testing,linux,11,16,0.0293
qa_testing,microservices,10,17,0.0267
qa_testing,siemens,9,18,0.024
qa_testing,junit,8,19,0.0213
qa_testing,kubernetes,8,19,0.0213
qa_testing,dotnet,7,20,0.0187
qa_testing,kafka,7,20,0.0187
qa_testing,swift,7,20,0.0187
security,cyber_security,225,1,0.2799
security,python,100,2,0.1244
security,linux,87,3,0.1082
security,agile,85,4,0.1057
security,ci_cd,64,5,0.0796
security,azure,62,6,0.0771
security,aws,57,7,0.0709
security,kubernetes,52,8,0.0647
security,powershell,46,9,0.0572
security,devops,44,10,0.0547
security,git,43,11,0.0535
security,gcp,39,12,0.0485
security,tcp_ip,39,12,0.0485
security,sql,25,13,0.0311
