date,canton,role_category,published_count,closed_count,net_change
2024-01-06,BE,Unknown,1,0,1
2024-01-06,BS,Unknown,1,0,1
2024-01-06,BS,software_engineering,1,0,1
2024-01-06,BS,support_operations,1,0,1
2024-01-06,GE,security,1,0,1
2024-01-06,ZH,software_engineering,1,0,1
2024-01-08,BE,data_ai,1,0,1
2024-01-08,GR,product_project_analysis,1,0,1
2024-01-08,ZH,software_engineering,1,0,1
2024-01-30,ZH,software_engineering,1,0,1
2024-02-20,TI,Unknown,1,0,1
2024-02-21,NE,devops_cloud_platform,1,0,1
2024-02-29,NE,data_ai,2,0,2
2024-03-20,VD,software_engineering,1,0,1
2024-04-02,ZH,devops_cloud_platform,1,0,1
2024-04-02,ZH,security,3,0,3
2024-04-02,ZH,software_engineering,1,0,1
2024-04-11,BE,devops_cloud_platform,1,0,1
2024-04-19,GE,security,1,0,1
2024-04-22,ZH,software_engineering,1,0,1
2024-04-24,BS,Unknown,1,0,1
2024-04-24,BS,devops_cloud_platform,1,0,1
2024-04-24,Unknown,security,1,0,1
2024-04-25,BE,data_ai,2,0,2
2024-04-25,BE,devops_cloud_platform,1,0,1
2024-04-25,BE,product_project_analysis,3,0,3
2024-04-25,LU,product_project_analysis,1,0,1
2024-04-25,TI,devops_cloud_platform,3,0,3
2024-04-25,TI,software_engineering,1,0,1
2024-04-25,TI,support_operations,1,0,1
2024-04-25,ZH,data_ai,1,0,1
2024-04-25,ZH,product_project_analysis,1,0,1
2024-04-25,ZH,software_engineering,1,0,1
2024-04-25,ZH,support_operations,1,0,1
2024-04-26,AG,devops_cloud_platform,1,0,1
2024-04-26,ZH,devops_cloud_platform,1,0,1
2024-04-29,NE,Unknown,1,0,1
2024-04-30,ZH,security,1,0,1
2024-05-01,ZH,devops_cloud_platform,1,0,1
2024-05-07,GE,software_engineering,3,0,3
2024-05-08,ZH,software_engineering,1,0,1
2024-05-09,SG,software_engineering,6,0,6
2024-05-09,ZH,devops_cloud_platform,2,0,2
2024-05-10,SG,devops_cloud_platform,1,0,1
2024-05-10,SG,security,1,0,1
2024-05-10,SO,erp_business_systems,1,0,1
2024-05-10,SZ,Unknown,1,0,1
2024-05-27,GE,product_project_analysis,1,0,1
2024-06-28,SG,software_engineering,1,0,1
2024-07-19,SZ,software_engineering,1,0,1
2024-08-10,SZ,data_ai,1,0,1
2024-08-22,ZH,security,1,0,1
2024-08-22,ZH,software_engineering,1,0,1
2024-09-04,ZH,security,1,0,1
2024-09-12,ZH,software_engineering,1,0,1
2024-09-22,SG,software_engineering,1,0,1
2024-10-05,ZH,security,1,0,1
2024-10-08,BE,software_engineering,1,0,1
2024-10-15,ZH,security,1,0,1
2024-11-01,ZH,data_ai,1,0,1
2024-11-05,BE,security,1,0,1
2024-11-06,GE,support_operations,1,0,1
2024-11-07,ZH,Unknown,1,0,1
2024-11-13,SG,devops_cloud_platform,2,0,2
2024-11-16,BE,Unknown,1,0,1
2024-11-16,SG,devops_cloud_platform,1,0,1
2024-11-22,ZH,product_project_analysis,1,0,1
2024-11-26,LU,software_engineering,1,0,1
2024-11-28,ZH,security,1,0,1
2024-11-29,ZH,security,1,0,1
2024-12-07,SO,erp_business_systems,1,0,1
2024-12-12,VD,software_engineering,3,0,3
2024-12-18,ZH,security,1,0,1
2024-12-25,ZH,product_project_analysis,1,0,1
2025-01-17,BE,devops_cloud_platform,1,0,1
2025-01-17,BE,software_engineering,1,0,1
2025-01-24,BE,devops_cloud_platform,2,0,2
2025-01-24,BE,software_engineering,1,0,1
2025-01-24,BS,data_ai,2,0,2
2025-01-24,GE,product_project_analysis,1,0,1
2025-01-24,GE,software_engineering,1,0,1
2025-01-24,GE,support_operations,1,0,1
2025-01-24,Unknown,Unknown,1,0,1
2025-01-24,Unknown,software_engineering,1,0,1
2025-01-24,ZH,software_engineering,2,0,2
2025-01-30,ZH,data_ai,1,0,1
2025-01-30,ZH,security,1,0,1
2025-02-04,AG,Unknown,1,0,1
2025-02-13,ZH,devops_cloud_platform,1,0,1
2025-02-13,ZH,software_engineering,2,0,2
2025-03-13,ZH,data_ai,1,0,1
2025-03-18,Unknown,security,1,0,1
2025-03-24,BS,software_engineering,3,0,3
2025-04-01,ZH,product_project_analysis,1,0,1
2025-04-02,ZH,devops_cloud_platform,1,0,1
2025-04-04,GE,product_project_analysis,1,0,1
2025-04-05,ZH,devops_cloud_platform,1,0,1
2025-04-11,BS,software_engineering,2,0,2
2025-04-12,BS,software_engineering,1,0,1
2025-04-12,TI,Unknown,1,0,1
2025-04-14,FR,software_engineering,1,0,1
2025-04-15,ZH,Unknown,1,0,1
2025-05-14,BS,product_project_analysis,1,0,1
2025-05-15,BE,software_engineering,1,0,1
2025-05-15,ZH,software_engineering,1,0,1
