week_start,published_count,closed_count,net_change,growth_rate
2023-11-20,5,0,5,
2024-01-01,6,0,6,0.2
2024-01-08,3,0,3,-0.5
2024-01-29,1,0,1,-0.6667
2024-02-19,2,0,2,1.0
2024-02-26,2,0,2,0.0
2024-03-18,1,0,1,-0.5
2024-04-01,5,0,5,4.0
2024-04-08,1,0,1,-0.8
2024-04-15,1,0,1,0.0
2024-04-22,22,0,22,21.0
2024-04-29,3,0,3,-0.8636
2024-05-06,16,0,16,4.3333
2024-05-20,1,0,1,-0.9375
2024-05-27,8,0,8,7.0
2024-06-17,1,0,1,-0.875
2024-06-24,1,0,1,0.0
2024-07-15,1,0,1,0.0
2024-08-05,1,0,1,0.0
2024-08-19,3,0,3,2.0
2024-09-02,1,0,1,-0.6667
2024-09-09,1,0,1,0.0
2024-09-16,1,0,1,0.0
2024-09-30,1,0,1,0.0
2024-10-07,1,0,1,0.0
2024-10-14,1,0,1,0.0
2024-10-28,1,0,1,0.0
2024-11-04,3,0,3,2.0
2024-11-11,4,0,4,0.3333
2024-11-18,1,0,1,-0.75
2024-11-25,3,0,3,2.0
2024-12-02,1,0,1,-0.6667
2024-12-09,3,0,3,2.0
2024-12-16,1,0,1,-0.6667
2024-12-23,1,0,1,0.0
2025-01-13,2,0,2,1.0
2025-01-20,14,0,14,6.0
2025-01-27,2,0,2,-0.8571
2025-02-03,1,0,1,-0.5
2025-02-10,3,0,3,2.0
2025-03-10,1,0,1,-0.6667
2025-03-17,1,0,1,0.0
2025-03-24,3,0,3,2.0
2025-03-31,4,0,4,0.3333
2025-04-07,4,0,4,0.0
2025-04-14,2,0,2,-0.5
2025-05-05,1,0,1,-0.5
2025-05-12,4,0,4,3.0
2025-05-19,3,0,3,-0.25
2025-05-26,10,0,10,2.3333
2025-06-02,3,0,3,-0.7
2025-06-16,3,0,3,0.0
2025-06-23,8,0,8,1.6667
2025-06-30,5,0,5,-0.375
2025-07-07,8,0,8,0.6
2025-07-14,4,0,4,-0.5
2025-07-21,29,0,29,6.25
2025-07-28,13,0,13,-0.5517
2025-08-04,4,0,4,-0.6923
2025-08-11,8,0,8,1.0
2025-08-18,8,0,8,0.0
2025-08-25,16,0,16,1.0
2025-09-01,5,0,5,-0.6875
2025-09-08,7,0,7,0.4
2025-09-15,23,0,23,2.2857
2025-09-22,16,0,16,-0.3043
2025-09-29,14,0,14,-0.125
2025-10-06,14,0,14,0.0
2025-10-13,8,0,8,-0.4286
2025-10-20,10,0,10,0.25
2025-10-27,8,0,8,-0.2
2025-11-03,13,0,13,0.625
2025-11-10,21,0,21,0.6154
2025-11-17,29,0,29,0.381
2025-11-24,14,0,14,-0.5172
2025-12-01,19,0,19,0.3571
2025-12-08,39,0,39,1.0526
2025-12-15,51,0,51,0.3077
2025-12-22,8,0,8,-0.8431
2025-12-29,13,0,13,0.625
2026-01-05,30,0,30,1.3077
2026-01-12,58,0,58,0.9333
2026-01-19,33,0,33,-0.431
2026-01-26,67,0,67,1.0303
2026-02-02,53,0,53,-0.209
2026-02-09,107,0,107,1.0189
2026-02-16,111,0,111,0.0374
2026-02-23,113,0,113,0.018
2026-03-02,225,0,225,0.9912
2026-03-09,254,0,254,0.1289
2026-03-16,386,0,386,0.5197
2026-03-23,620,0,620,0.6062
2026-03-30,2453,0,2453,2.9565
2026-04-06,938,0,938,-0.6176
2026-04-13,1562,1572,-10,0.6652
2026-04-20,343,0,343,-0.7804
