city,vacancy_count,share
Zürich,968,0.2157
Genève,266,0.0593
Bern,262,0.0584
Basel,151,0.0336
Lausanne,140,0.0312
Luzern,89,0.0198
Winterthur,81,0.018
Wallisellen,53,0.0118
Aarau,51,0.0114
Zug,47,0.0105
St. Gallen,44,0.0098
Baden,43,0.0096
Berne,36,0.008
Herisau,34,0.0076
Mägenwil,32,0.0071
Lenzburg,31,0.0069
Thun,30,0.0067
Sursee,29,0.0065
Olten,28,0.0062
Switzerland,28,0.0062
Schlieren,26,0.0058
Reinach,25,0.0056
Baar,23,0.0051
Frauenfeld,22,0.0049
Dübendorf,21,0.0047
Fribourg,21,0.0047
Chur,20,0.0045
Emmen,20,0.0045
Volketswil,20,0.0045
Schaffhausen,19,0.0042
Solothurn,19,0.0042
Allschwil,18,0.004
Chiasso,18,0.004
Dietikon,18,0.004
Glattbrugg,18,0.004
Spreitenbach,18,0.004
Kloten,17,0.0038
Rotkreuz,17,0.0038
Neuchâtel,15,0.0033
Rothenburg,15,0.0033
Zürich Seebach,15,0.0033
Biel/Bienne,14,0.0031
Gland,14,0.0031
Urdorf,14,0.0031
Yverdon-les-Bains,14,0.0031
Meyrin,13,0.0029
Moosseedorf,13,0.0029
Opfikon,13,0.0029
Pully,13,0.0029
Aarburg,12,0.0027
Kemptthal,12,0.0027
Lugano,12,0.0027
Schwyz,12,0.0027
Balzers,11,0.0025
Bussnang,11,0.0025
Horgen,11,0.0025
Kriens,11,0.0025
Langenthal,11,0.0025
Rapperswil-Jona,11,0.0025
Steinhausen,11,0.0025
Burgdorf,10,0.0022
Bülach,10,0.0022
CH - Zürich,10,0.0022
Cham,10,0.0022
Jona,10,0.0022
Landquart,10,0.0022
Stans,10,0.0022
Unknown,10,0.0022
"Zurich, Zurich, Switzerland",10,0.0022
Zürich Metropolitan Area,10,0.0022
Biel,9,0.002
Bonaduz,9,0.002
Fully,9,0.002
Hinwil,9,0.002
Pfäffikon,9,0.002
Sion,9,0.002
Stäfa,9,0.002
Wetzikon,9,0.002
"Zurich, Switzerland",9,0.002
Bubendorf,8,0.0018
Bulle,8,0.0018
Muttenz,8,0.0018
Ostermundigen,8,0.0018
Stabio,8,0.0018
Staefa,8,0.0018
Aargau,7,0.0016
Altishofen,7,0.0016
Bottighofen,7,0.0016
Bubikon,7,0.0016
Coppet,7,0.0016
Dietlikon,7,0.0016
Dättwil,7,0.0016
Ecublens,7,0.0016
Eschen,7,0.0016
Gümligen,7,0.0016
Kaiseraugst,7,0.0016
Münchenstein,7,0.0016
Paudex,7,0.0016
St Gallen,7,0.0016
Stein,7,0.0016
Uzwil,7,0.0016
Basel (City),6,0.0013
Bellach,6,0.0013
Bellevue,6,0.0013
Bendern,6,0.0013
Bioggio,6,0.0013
Brugg,6,0.0013
Bussigny,6,0.0013
Fehraltorf,6,0.0013
Glattpark,6,0.0013
Grand-Lancy,6,0.0013
Hard,6,0.0013
Lupfig,6,0.0013
Männedorf,6,0.0013
Prilly,6,0.0013
Rapperswil,6,0.0013
Region Bern Mittelland (BE/SO/AG),6,0.0013
Schaan,6,0.0013
Schwerzenbach,6,0.0013
Weggis,6,0.0013
Wil,6,0.0013
Aadorf,5,0.0011
Bienne,5,0.0011
Davos Platz,5,0.0011
"Geneva, Zurich",5,0.0011
Lindau,5,0.0011
Nidau,5,0.0011
Plan-les-Ouates,5,0.0011
Pratteln,5,0.0011
Rapperswi-Jona,5,0.0011
Reiden,5,0.0011
Renens,5,0.0011
Ruswil,5,0.0011
Schweiz,5,0.0011
St.Gallen,5,0.0011
Thalwil,5,0.0011
Thun (Gwatt),5,0.0011
Triesen,5,0.0011
Tägerwilen,5,0.0011
Wohlen,5,0.0011
Würenlingen,5,0.0011
Zofingen,5,0.0011
Aigle,4,0.0009
Appenzell,4,0.0009
"Basel, Geneva, Zurich",4,0.0009
Beringen,4,0.0009
Bilten,4,0.0009
Brig,4,0.0009
Deutschschweiz,4,0.0009
Eschlikon,4,0.0009
Geneva Metropolitan Area,4,0.0009
Granges-Paccot,4,0.0009
Grenchen,4,0.0009
Hauptsitz Zollikofen,4,0.0009
Heerbrugg,4,0.0009
Kirchberg,4,0.0009
Liestal,4,0.0009
Marin-Epagnier,4,0.0009
Martigny,4,0.0009
Meggen,4,0.0009
Meilen,4,0.0009
Meiringen,4,0.0009
Mendrisio,4,0.0009
Muhen,4,0.0009
Münsingen,4,0.0009
Otelfingen,4,0.0009
Paderborn/Büren,4,0.0009
