company,vacancy_count,share
ti&m AG,76,0.014
adesso Schweiz AG,71,0.013
Deloitte,56,0.0103
Bank Julius Bär & Co. AG,52,0.0096
ViaSat Antenna Systems SA,49,0.009
Akros AG,44,0.0081
Elca informatique SA,39,0.0072
Stadler Rail Group,39,0.0072
SonarSource SA,38,0.007
RUAG AG,36,0.0066
Eraneos Switzerland AG,34,0.0062
Google,34,0.0062
PRODYNA (Schweiz) AG,32,0.0059
Hitachi Energy AG,30,0.0055
Axept Business Software AG,25,0.0046
Turing,24,0.0044
finnova AG Bankware,24,0.0044
Deloitte AG,23,0.0042
clavis IT ag,23,0.0042
Siemens Schweiz AG,22,0.004
CERN,21,0.0039
Julius Baer,21,0.0039
Banque Cantonale Vaudoise,20,0.0037
Kraken,20,0.0037
BRACK.CH AG,19,0.0035
Banque Lombard Odier & Cie SA,18,0.0033
Experis Switzerland,17,0.0031
Kanton Zürich,17,0.0031
On AG,17,0.0031
Swisscom Digital Technology SA,17,0.0031
"UMB AG, Zweigniederlassung Volketswil",17,0.0031
ITRIS AG,16,0.0029
Nexthink,16,0.0029
isolutions AG,16,0.0029
Amaris Consulting Sàrl,15,0.0028
Auctae Switzerland Sàrl,15,0.0028
Bison Schweiz AG,15,0.0028
Ergon Informatik AG,15,0.0028
Ernst & Young AG,15,0.0028
SBB CFF FFS,15,0.0028
Zürcher Kantonalbank und ihre Tochtergesellschaften,15,0.0028
CodeWay SA,14,0.0026
ELCA Group,14,0.0026
Innovation Process Technology AG,14,0.0026
VZ VermögensZentrum,14,0.0026
CISTEC AG,13,0.0024
EFG Bank AG,13,0.0024
EY (Ernst & Young AG),13,0.0024
Microsoft AI,13,0.0024
UMB AG,13,0.0024
EY,12,0.0022
Expleo Group,12,0.0022
Geberit AG,12,0.0022
KPMG,12,0.0022
LHH,12,0.0022
Metrohm AG,12,0.0022
Twine,12,0.0022
Zühlke Engineering AG,12,0.0022
infomaniak | The Ethical Cloud,12,0.0022
Avaloq Group AG,11,0.002
Digt AG,11,0.002
Inventx AG,11,0.002
ParMag AG,11,0.002
ROLEX,11,0.002
Red Commerce Schweiz GmbH,11,0.002
SIX Group AG,11,0.002
Source Group International GmbH,11,0.002
Swisscom,11,0.002
VF International Sagl,11,0.002
Bank Frick AG,10,0.0018
"Bechtle Schweiz AG, Systemhaus Deutschschweiz",10,0.0018
Coopers Group AG,10,0.0018
Crossing Hurdles,10,0.0018
IT Di-Visions AG,10,0.0018
Ivy Partners,10,0.0018
JobCourier,10,0.0018
NVIDIA,10,0.0018
Open Systems AG,10,0.0018
RM Group (Switzerland),10,0.0018
YO IT Consulting,10,0.0018
untersee AG,10,0.0018
ALTEN,9,0.0017
Business & Decision (Suisse) SA,9,0.0017
CSS,9,0.0017
Daedalean AG,9,0.0017
Deligo DAG AG,9,0.0017
Fincons Group,9,0.0017
Hexagon Robotics,9,0.0017
ITpoint Systems AG,9,0.0017
Informaticon AG,9,0.0017
Kanton Graubünden,9,0.0017
KastGroup GmbH,9,0.0017
Logitech,9,0.0017
Luzerner Kantonsspital,9,0.0017
Migros-Genossenschafts-Bund,9,0.0017
Nexplore AG,9,0.0017
SAP (Schweiz) AG,9,0.0017
Ubique Innovation AG,9,0.0017
Unknown,9,0.0017
VAUDOISE ASSURANCES HOLDING SA,9,0.0017
Vangard AG,9,0.0017
Zürich Versicherungs-Gesellschaft AG / Zurich Insurance Company Ltd / Zurich Compagnie d'Assurances SA,9,0.0017
p3b ag,9,0.0017
swissgrid ag,9,0.0017
AXA Versicherungen AG,8,0.0015
BROMsolutions AG Biel,8,0.0015
Brack.Alltron AG,8,0.0015
Code Compass 🧭,8,0.0015
Comfone AG,8,0.0015
Digital Asset,8,0.0015
EFG International,8,0.0015
Green,8,0.0015
Lombard Odier,8,0.0015
MGI Consultants SA,8,0.0015
Richemont,8,0.0015
SMG Swiss Marketplace Group,8,0.0015
SOCIETE GENERALE Private Banking (Suisse) SA,8,0.0015
"SUISA, Genossenschaft der Urheber und Verleger von Musik",8,0.0015
Securiton AG,8,0.0015
Sumex AG,8,0.0015
Sunrise GmbH,8,0.0015
Transgourmet Schweiz AG,8,0.0015
Zurich Insurance,8,0.0015
redIT Services AG,8,0.0015
univativ Schweiz AG,8,0.0015
Axpo Group,7,0.0013
Banque Pictet & Cie SA,7,0.0013
Bergauer AG,7,0.0013
CSEM,7,0.0013
Centris AG,7,0.0013
DV Bern AG,7,0.0013
Delvitech SA,7,0.0013
EBP Schweiz AG,7,0.0013
EPAM Systems,7,0.0013
ERNI Schweiz AG,7,0.0013
Endress+Hauser,7,0.0013
Ferag AG,7,0.0013
