skill_1,skill_2,vacancy_count
ci_cd,devops,329
ci_cd,git,312
agile,ci_cd,268
devops,git,268
agile,devops,260
git,python,248
python,sql,239
ci_cd,python,237
ci_cd,kubernetes,227
devops,python,226
agile,git,212
devops,kubernetes,210
docker,kubernetes,203
linux,python,201
azure,devops,188
agile,python,187
agile,java,187
git,kubernetes,186
ci_cd,docker,185
agile,sql,178
ci_cd,java,166
kubernetes,python,162
docker,git,161
docker,python,156
devops,sql,153
agile,kubernetes,152
git,sql,151
azure,ci_cd,150
ci_cd,linux,149
agile,scrum,148
devops,docker,147
ci_cd,sql,146
kubernetes,linux,145
java,spring,140
git,linux,139
devops,java,137
azure,python,135
devops,linux,133
java,sql,130
java,python,123
agile,docker,122
git,java,122
azure_devops,devops,120
agile,linux,118
java,kubernetes,118
docker,linux,117
devops,terraform,111
azure,sql,111
docker,java,109
aws,gcp,109
