canton,skill,vacancy_count,rank,share_within_group
AG,agile,25,1,0.2049
AG,sql,21,2,0.1721
AG,azure,20,3,0.1639
AG,devops,14,4,0.1148
AG,python,12,5,0.0984
AG,csharp,11,6,0.0902
AG,ci_cd,10,7,0.082
AG,java,10,7,0.082
AG,javascript,8,8,0.0656
AG,react,8,8,0.0656
AG,aws,7,9,0.0574
AG,dotnet,6,10,0.0492
AG,oracle,6,10,0.0492
AG,c++,5,11,0.041
AG,angular,4,12,0.0328
AG,c,4,12,0.0328
AG,ms sql,4,12,0.0328
AG,typescript,4,12,0.0328
AG,databricks,3,13,0.0246
AG,devexpress xaf,3,13,0.0246
AG,docker,3,13,0.0246
AG,etl,3,13,0.0246
AG,linux,3,13,0.0246
AG,microservices,3,13,0.0246
AG,microsoft 365,3,13,0.0246
AG,mssql,3,13,0.0246
AG,postgresql,3,13,0.0246
AG,rust,3,13,0.0246
AG,bigquery,2,14,0.0164
AG,d365,2,14,0.0164
AG,dbt,2,14,0.0164
AG,itil,2,14,0.0164
AG,kubernetes,2,14,0.0164
AG,m365,2,14,0.0164
AG,mysql,2,14,0.0164
AG,nodejs,2,14,0.0164
AG,office365,2,14,0.0164
AG,onprem,2,14,0.0164
AG,powershell,2,14,0.0164
AG,scrum,2,14,0.0164
AG,snowflake,2,14,0.0164
AG,terraform,2,14,0.0164
AG,test_automation,2,14,0.0164
AG,.net,1,15,0.0082
AG,.net core,1,15,0.0082
AG,8d,1,15,0.0082
AG,ansible,1,15,0.0082
AG,apache spark,1,15,0.0082
AG,azure/cloud,1,15,0.0082
AG,bash,1,15,0.0082
AG,cats,1,15,0.0082
AG,cats effect,1,15,0.0082
AG,data governance,1,15,0.0082
AG,data modeling,1,15,0.0082
AG,dataframes,1,15,0.0082
AG,devexpress,1,15,0.0082
AG,dotnet_core,1,15,0.0082
AG,etl/elt,1,15,0.0082
AG,flink,1,15,0.0082
AG,gcp,1,15,0.0082
AG,git,1,15,0.0082
AG,grafana,1,15,0.0082
AG,hadoop,1,15,0.0082
AG,html,1,15,0.0082
AG,influxdb,1,15,0.0082
AG,kafka,1,15,0.0082
AG,lean manufacturing,1,15,0.0082
AG,linux server,1,15,0.0082
AG,microsoft,1,15,0.0082
AG,modbus,1,15,0.0082
AG,mongodb,1,15,0.0082
AG,mqtt,1,15,0.0082
AG,ms-sql,1,15,0.0082
AG,nextjs,1,15,0.0082
AG,node-red,1,15,0.0082
AG,"nodejs (js, ts)",1,15,0.0082
AG,opc ua,1,15,0.0082
AG,openshift,1,15,0.0082
AG,php,1,15,0.0082
AG,pl/sql,1,15,0.0082
AG,postgres,1,15,0.0082
AG,project_management,1,15,0.0082
AG,qa_testing,1,15,0.0082
AG,quality assurance,1,15,0.0082
AG,redis,1,15,0.0082
AG,relational databases,1,15,0.0082
AG,requirements_engineering,1,15,0.0082
AG,s7,1,15,0.0082
AG,sap btp,1,15,0.0082
AG,scala,1,15,0.0082
AG,six sigma,1,15,0.0082
AG,spark,1,15,0.0082
AG,spring,1,15,0.0082
AG,swift,1,15,0.0082
AG,t-sql,1,15,0.0082
AG,testing,1,15,0.0082
AG,vmware,1,15,0.0082
AG,windows server,1,15,0.0082
AG,winforms,1,15,0.0082
AR,java,7,1,0.35
AR,agile,6,2,0.3
AR,ci_cd,4,3,0.2
AR,devops,4,3,0.2
AR,typescript,3,4,0.15
AR,clean_code,2,5,0.1
AR,cloudstack,2,5,0.1
AR,csharp,2,5,0.1
AR,dotnet,2,5,0.1
AR,elasticsearch,2,5,0.1
AR,hibernate,2,5,0.1
AR,microservices,2,5,0.1
AR,mysql,2,5,0.1
AR,nextjs,2,5,0.1
AR,react,2,5,0.1
AR,c++,1,6,0.05
AR,itil,1,6,0.05
AR,kubernetes,1,6,0.05
AR,liferay,1,6,0.05
AR,mariadb,1,6,0.05
AR,next.js,1,6,0.05
AR,qt,1,6,0.05
AR,react.js,1,6,0.05
AR,scrum,1,6,0.05
BE,agile,157,1,0.2924
BE,ci_cd,118,2,0.2197
BE,devops,101,3,0.1881
BE,java,92,4,0.1713
BE,python,76,5,0.1415
BE,sql,66,6,0.1229
BE,azure,58,7,0.108
BE,angular,52,8,0.0968
BE,ansible,49,9,0.0912
BE,spring,48,10,0.0894
BE,kubernetes,44,11,0.0819
BE,aws,39,12,0.0726
BE,scrum,38,13,0.0708
BE,microservices,33,14,0.0615
BE,react,30,15,0.0559
BE,dotnet,29,16,0.054
BE,postgresql,29,16,0.054
BE,terraform,29,16,0.054
BE,devsecops,27,17,0.0503
BE,safe,27,17,0.0503
BE,docker,26,18,0.0484
BE,openshift,24,19,0.0447
BE,csharp,22,20,0.041
BE,gcp,22,20,0.041
BE,javascript,22,20,0.041
BE,typescript,22,20,0.041
BL,agile,9,1,0.2
BL,azure,8,2,0.1778
BL,devops,6,3,0.1333
BL,sql,6,3,0.1333
BL,c,5,4,0.1111
BL,ci_cd,3,5,0.0667
BL,python,3,5,0.0667
BL,aws,2,6,0.0444
BL,gcp,2,6,0.0444
BL,laravel,2,6,0.0444
BL,boost,1,7,0.0222
BL,change,1,7,0.0222
BL,databricks,1,7,0.0222
BL,dbt,1,7,0.0222
BL,docker,1,7,0.0222
BL,etl,1,7,0.0222
BL,github actions,1,7,0.0222
BL,incident,1,7,0.0222
BL,integration projects,1,7,0.0222
BL,itil,1,7,0.0222
BL,java,1,7,0.0222
BL,m365,1,7,0.0222
BL,ms-sql,1,7,0.0222
BL,private cloud,1,7,0.0222
BL,problem,1,7,0.0222
BL,process analysis,1,7,0.0222
BL,project management,1,7,0.0222
BL,public cloud,1,7,0.0222
BL,requirement management,1,7,0.0222
BL,rust,1,7,0.0222
BL,sap s/4hana,1,7,0.0222
