role_category,skill,vacancy_count,rank,share_within_group
data_ai,python,192,1,0.5533
data_ai,sql,150,2,0.4323
data_ai,azure,71,3,0.2046
data_ai,devops,69,4,0.1988
data_ai,ci_cd,66,5,0.1902
data_ai,databricks,61,6,0.1758
data_ai,etl,60,7,0.1729
data_ai,git,59,8,0.17
data_ai,spark,59,8,0.17
data_ai,agile,56,9,0.1614
data_ai,gcp,45,10,0.1297
data_ai,snowflake,41,11,0.1182
data_ai,aws,40,12,0.1153
data_ai,dbt,40,12,0.1153
data_ai,power bi,38,13,0.1095
data_ai,docker,37,14,0.1066
data_ai,pytorch,32,15,0.0922
data_ai,java,26,16,0.0749
data_ai,terraform,26,16,0.0749
data_ai,kubernetes,25,17,0.072
data_ai,airflow,23,18,0.0663
data_ai,azure_devops,22,19,0.0634
data_ai,bigquery,22,19,0.0634
data_ai,tensorflow,21,20,0.0605
devops_cloud_platform,linux,233,1,0.2774
devops_cloud_platform,devops,227,2,0.2702
devops_cloud_platform,azure,226,3,0.269
devops_cloud_platform,kubernetes,163,4,0.194
devops_cloud_platform,ci_cd,161,5,0.1917
devops_cloud_platform,git,152,6,0.181
devops_cloud_platform,python,147,7,0.175
devops_cloud_platform,powershell,143,8,0.1702
devops_cloud_platform,ansible,140,9,0.1667
devops_cloud_platform,terraform,93,10,0.1107
devops_cloud_platform,agile,91,11,0.1083
devops_cloud_platform,docker,88,12,0.1048
devops_cloud_platform,sql,81,13,0.0964
devops_cloud_platform,aws,63,14,0.075
devops_cloud_platform,vmware,61,15,0.0726
devops_cloud_platform,openshift,60,16,0.0714
devops_cloud_platform,java,50,17,0.0595
devops_cloud_platform,oracle,39,18,0.0464
devops_cloud_platform,microsoft 365,38,19,0.0452
devops_cloud_platform,postgresql,37,20,0.044
devops_cloud_platform,windows,37,20,0.044
erp_business_systems,agile,11,1,0.0982
erp_business_systems,spark,6,2,0.0536
erp_business_systems,devops,4,3,0.0357
erp_business_systems,oracle,4,3,0.0357
erp_business_systems,boost,3,4,0.0268
erp_business_systems,dynamics 365,3,4,0.0268
erp_business_systems,microsoft azure,3,4,0.0268
erp_business_systems,power platform,3,4,0.0268
erp_business_systems,vue,3,4,0.0268
erp_business_systems,azure,2,5,0.0179
erp_business_systems,dotnet,2,5,0.0179
erp_business_systems,microsoft 365,2,5,0.0179
erp_business_systems,ms office,2,5,0.0179
erp_business_systems,ms-office,2,5,0.0179
erp_business_systems,php,2,5,0.0179
erp_business_systems,salesforce,2,5,0.0179
erp_business_systems,sap,2,5,0.0179
erp_business_systems,.net framework,1,6,0.0089
erp_business_systems,azure_devops,1,6,0.0089
erp_business_systems,business_consulting,1,6,0.0089
erp_business_systems,claude code,1,6,0.0089
erp_business_systems,cmi gever,1,6,0.0089
erp_business_systems,cmi-ais,1,6,0.0089
erp_business_systems,copilot,1,6,0.0089
erp_business_systems,csharp,1,6,0.0089
