week_start,published_count,closed_count,net_change,growth_rate
2025-12-29,2,0,2,
2026-01-05,29,0,29,13.5
2026-01-12,40,0,40,0.3793
2026-01-19,38,0,38,-0.05
2026-01-26,48,0,48,0.2632
2026-02-02,49,0,49,0.0208
2026-02-09,57,0,57,0.1633
2026-02-16,49,0,49,-0.1404
2026-02-23,53,0,53,0.0816
2026-03-02,91,0,91,0.717
2026-03-09,135,0,135,0.4835
2026-03-16,212,0,212,0.5704
2026-03-23,266,0,266,0.2547
2026-03-30,387,0,387,0.4549
2026-04-06,351,0,351,-0.093
2026-04-13,433,471,-38,0.2336
2026-04-20,362,363,-1,-0.164
2026-04-27,344,773,-429,-0.0497
2026-05-04,380,321,59,0.1047
2026-05-11,310,349,-39,-0.1842
2026-05-18,783,349,434,1.5258
2026-05-25,761,0,761,-0.0281
